Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,David,McGuinty,Ottawa South,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Greg,McLean,Calgary Centre,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal,2021-09-20 12:00:00 AM,
,Heather,McPherson,Edmonton Strathcona,Alberta,NDP,2021-09-20 12:00:00 AM,
,Eric,Melillo,Kenora,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Wilson,Miao,Richmond Centre,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Kristina,Michaud,Avignon—La Mitis—Matane—Matapédia,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative,2021-09-20 12:00:00 AM,
,Marty,Morantz,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,Mike,Morrice,Kitchener Centre,Ontario,Green Party,2021-09-20 12:00:00 AM,
,Rob,Morrison,Kootenay—Columbia,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2021-09-20 12:00:00 AM,
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Dan,Muys,Flamborough—Glanbrook,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,John,Nater,Perth—Wellington,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Robert,Oliphant,Don Valley West,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Rick,Perkins,South Shore—St. Margarets,Nova Scotia,Conservative,2021-09-20 12:00:00 AM,
,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Alain,Rayes,Richmond—Arthabaska,Quebec,Independent,2021-09-20 12:00:00 AM,
,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Anna,Roberts,King—Vaughan,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Lianne,Rood,Lambton—Kent—Middlesex,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Ruby,Sahota,Brampton North,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,2021-09-20 12:00:00 AM,
Hon.,Ya'ara,Saks,York Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,2021-09-20 12:00:00 AM,
